"key","position","name"
"conf/aaai/AhmedCG15",1,"Krishnendu Chatterjee"
"conf/aaai/AhmedCG15",2,"Sumit Gulwani"
"conf/aaai/AhmedG14",0,"Hazem Radwan Ahmed"
"conf/aaai/AhmedG14",1,"Janice I. Glasgow"
"conf/aaai/AhmedK11",0,"Asrar Ahmed"
"conf/aaai/AhmedK11",1,"Kamalakar Karlapalem"
"conf/aaai/AhmedSMHJ07",0,"Javed Ahmed"
"conf/aaai/AhmedSMHJ07",1,"Mubarak Shah"
"conf/aaai/AhmedSMHJ07",2,"Andrew Miller"
"conf/aaai/AhmedSMHJ07",3,"Don Harper"
"conf/aaai/AhmedSMHJ07",4,"M. Noman Jafri"
"conf/aaai/AhmetajCOS14",0,"Shqiponja Ahmetaj"
"conf/aaai/AhmetajCOS14",1,"Diego Calvanese"
"conf/aaai/AhmetajCOS14",2,"Magdalena Ortiz"
"conf/aaai/AhmetajCOS14",3,"Mantas Simkus"
"conf/aaai/AhnP14",0,"Hyungil Ahn"
"conf/aaai/AhnP14",1,"Rosalind W. Picard"
"conf/aaai/AineL13",0,"Sandip Aine"
"conf/aaai/AineL13",1,"Maxim Likhachev"
"conf/aaai/Aist00",0,"Gregory Aist"
"conf/aaai/Aist00a",0,"Gregory Aist"
"conf/aaai/AkasiadisC13",0,"Charilaos Akasiadis"
"conf/aaai/AkasiadisC13",1,"Georgios Chalkiadakis"
"conf/aaai/AkbariHNC16",0,"Mohammad Akbari"
"conf/aaai/AkbariHNC16",1,"Xia Hu"
"conf/aaai/AkbariHNC16",2,"Liqiang Nie"
"conf/aaai/AkbariHNC16",3,"Tat-Seng Chua"
"conf/aaai/AkersBKRY00",0,"Robert L. Akers"
"conf/aaai/AkersBKRY00",1,"Ion Bica"
"conf/aaai/AkersBKRY00",2,"Elaine Kant"
"conf/aaai/AkersBKRY00",3,"Curt Randall"
"conf/aaai/AkersBKRY00",4,"Robert L. Young"
"conf/aaai/AkgunMJFH11",0,"Ozgur Akgun"
"conf/aaai/AkgunMJFH11",1,"Ian Miguel"
"conf/aaai/AkgunMJFH11",2,"Christopher Jefferson"
"conf/aaai/AkgunMJFH11",3,"Alan M. Frisch"
"conf/aaai/AkgunMJFH11",4,"Brahim Hnich"
"conf/aaai/AkgunSST11",0,"Baris Akgun"
"conf/aaai/AkgunSST11",1,"Kaushik Subramanian"
"conf/aaai/AkgunSST11",2,"Jaeeun Shim"
"conf/aaai/AkgunSST11",3,"Andrea Lockerd Thomaz"
"conf/aaai/AkibaHNIY15",0,"Takuya Akiba"
"conf/aaai/AkibaHNIY15",1,"Takanori Hayashi 0002"
"conf/aaai/AkibaHNIY15",2,"Nozomi Nori"
"conf/aaai/AkibaHNIY15",3,"Yoichi Iwata"
"conf/aaai/AkibaHNIY15",4,"Yuichi Yoshida"
